CountyCode,log_permil
12117,-2.7540537824674396
17131,-2.7555697170701863
39065,-2.7560146276187276
37135,-2.757164827619223
01059,-2.7608956236487354
12087,-2.7609841488816462
40115,-2.7628855483408166
39061,-2.764095650147535
47025,-2.7649659929192234
48371,-2.770711962226921
17019,-2.7746011190872037
48439,-2.780989338053175
40095,-2.7844555323046154
39133,-2.7845234689753124
18077,-2.7855666435300384
02110,-2.787107808338984
48013,-2.7890565468914654
31153,-2.789619016408155
13185,-2.7957819534798083
48347,-2.800416658464578
42081,-2.801176179091694
26081,-2.8012960916646708
34025,-2.801518174719401
40117,-2.8024508765236944
01043,-2.803008803959087
21117,-2.803026992005297
37175,-2.817860800433648
20111,-2.8186967211892737
